City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,popondetta,-8.7537,148.2534,26.16,93,100,0.29,PG,1736750531
299,guerrero negro,27.9769,-114.0611,12.53,33,6,3.41,MX,1736750532
300,ola,59.5833,151.2833,-25.79,84,20,3.22,RU,1736750533
301,klyuchi,52.2667,79.1667,-10.16,93,41,2.87,RU,1736750536
302,hasaki,35.7333,140.8333,11.39,35,0,7.35,JP,1736750537
303,teknaf,20.8624,92.3058,25.26,49,0,5.68,BD,1736750539
304,naze,28.3667,129.4833,15.51,51,73,3.9,JP,1736750540
305,champua,22.0833,85.6667,26.43,26,0,2.47,IN,1736750541
306,horta,38.5333,-28.6333,18.34,95,100,8.49,PT,1736750542
307,kudahuvadhoo,2.6708,72.8944,27.38,68,100,1.49,MV,1736750544
308,xining,36.6167,101.7667,-1.92,20,0,2.27,CN,1736750545
309,beytussebap,37.5694,43.1681,0.4,69,0,2.12,TR,1736750547
310,freeport,40.6576,-73.5832,2.81,69,75,3.6,US,1736750503
311,cheremukhovo,60.3484,59.9851,-5.29,94,100,1.46,RU,1736750549
312,alesund,62.4723,6.1549,7.08,70,75,13.38,NO,1736750551
313,kapa'a,22.0752,-159.319,23.18,93,75,5.66,US,1736750552
314,watford city,47.8022,-103.2832,-23.08,92,1,2.57,US,1736750554
315,kilju,40.9642,129.3278,-0.82,68,100,1.14,KP,1736750555
316,brookings,44.3114,-96.7984,-16.08,82,0,4.12,US,1736750382
317,barah,13.7,30.3667,20.2,22,12,6.19,SD,1736750558
318,gadzhiyevo,69.2551,33.3362,-7.98,86,100,4.23,RU,1736750559
319,auki,-8.7676,160.7034,27.46,82,22,1.92,SB,1736750561
320,geraldton,-28.7667,114.6,28.23,57,99,8.23,AU,1736750562
321,vilyuysk,63.7553,121.6247,-25.42,98,100,2.08,RU,1736750564
322,santa cruz,-17.8,-63.1667,22.7,88,40,2.57,BO,1736750279
323,lhasa,29.65,91.1,1.84,26,89,3.07,CN,1736750566
324,pitimbu,-7.4706,-34.8086,25.24,86,72,3.18,BR,1736750339
325,kayangel,8.0823,134.7173,28.61,78,11,9.5,PW,1736750569
326,lospalos,-8.5186,127.0025,28.95,63,100,2.65,TL,1736750570
327,tacna,-18.0056,-70.2483,17.11,77,0,2.06,PE,1736750556
328,ingeniero jacobacci,-41.3427,-69.5448,15.42,52,100,5.8,AR,1736750573
329,prado,-17.3411,-39.2208,23.18,96,73,2.44,BR,1736750345
